step,epoch,batch_loss,avg_loss,batch_acc,avg_acc,val_loss,lr,best_val,no_improve
10000,0,5.253642,6.794778,0.000000,0.000000,5.272183,0.00000797,inf,0
20000,0,4.521843,5.773525,0.000000,0.000000,4.269896,0.00001593,5.272183,0
30000,0,3.753338,5.181196,0.000000,0.000000,3.566106,0.00002390,4.269896,0
40000,0,3.404686,4.752812,0.000000,0.000000,3.075983,0.00003000,3.566106,0
50000,0,2.931371,4.429905,0.000000,0.000000,2.800583,0.00002998,3.075983,0
60000,0,2.932490,4.181528,0.000000,0.000000,2.633034,0.00002993,2.800583,0
70000,0,2.987895,3.987377,0.000000,0.000000,2.525264,0.00002985,2.633034,0
80000,0,2.992882,3.849834,0.000000,0.000000,2.511265,0.00002974,2.525264,0
90000,0,2.611627,3.719195,0.000000,0.000000,2.384320,0.00002961,2.511265,0
100000,0,2.396508,3.608535,0.000000,0.000000,2.332769,0.00002944,2.384320,0
110000,0,2.552775,3.513895,0.000000,0.000000,2.287801,0.00002925,2.332769,0
120000,0,2.462292,3.432215,0.000000,0.000000,2.255820,0.00002903,2.287801,0
130000,0,2.295095,3.360530,0.000000,0.000000,2.223797,0.00002878,2.255820,0
140000,0,2.315791,3.296995,0.000000,0.000000,2.195923,0.00002851,2.223797,0
150000,0,2.395003,3.240421,0.000000,0.000000,2.172483,0.00002821,2.195923,0
160000,0,2.847703,3.206235,0.000000,0.000000,2.210183,0.00002789,2.172483,0
170000,0,2.177394,3.160085,0.000000,0.000000,2.143479,0.00002754,2.172483,1
180000,0,2.487392,3.117601,0.000000,0.000000,2.119759,0.00002716,2.143479,0
190000,0,2.092119,3.078556,0.000000,0.000000,2.105252,0.00002677,2.119759,0
200000,0,2.459216,3.042736,0.000000,0.000000,2.090563,0.00002635,2.105252,0
210000,0,2.503696,3.009652,0.000000,0.000000,2.076341,0.00002591,2.090563,0
220000,0,2.332398,2.978994,0.000000,0.000000,2.063562,0.00002544,2.076341,0
230000,0,2.417204,2.955546,0.000000,0.000000,2.096841,0.00002496,2.063562,0
240000,0,2.152853,2.928838,0.000000,0.000000,2.042893,0.00002446,2.063562,1
250000,0,2.379239,2.903699,0.000000,0.000000,2.028965,0.00002394,2.042893,0
260000,0,2.342360,2.879917,0.000000,0.000000,2.019267,0.00002340,2.028965,0
270000,0,2.149132,2.857731,0.000000,0.000000,2.010788,0.00002285,2.019267,0
280000,0,2.177384,2.836718,0.000000,0.000000,2.003231,0.00002228,2.010788,0
290000,0,2.414723,2.816887,0.000000,0.000000,1.994281,0.00002170,2.003231,0
300000,0,2.184428,2.798003,0.000000,0.000000,1.984617,0.00002110,1.994281,0
310000,0,2.492141,2.788019,0.000000,0.000000,2.023977,0.00002049,1.984617,0
320000,0,2.375306,2.771093,0.000000,0.000000,1.975292,0.00001988,1.984617,1
330000,0,2.182742,2.754801,0.000000,0.000000,1.964661,0.00001925,1.975292,0
340000,0,2.111755,2.739279,0.000000,0.000000,1.957874,0.00001861,1.964661,0
350000,0,2.168644,2.724332,0.000000,0.000000,1.949138,0.00001797,1.957874,0
360000,0,2.183433,2.709955,0.000000,0.000000,1.942810,0.00001732,1.949138,0
370000,0,2.164298,2.696266,0.000000,0.000000,1.935764,0.00001667,1.942810,0
380000,0,2.468687,2.685880,0.000000,0.000000,1.968803,0.00001601,1.935764,0
390000,0,2.162520,2.673364,0.000000,0.000000,1.925483,0.00001536,1.935764,1
400000,0,2.364888,2.661168,0.000000,0.000000,1.920202,0.00001470,1.925483,0
410000,0,2.339358,2.649347,0.000000,0.000000,1.913623,0.00001404,1.920202,0
420000,0,2.253044,2.638048,0.000000,0.000000,1.908000,0.00001338,1.913623,0
430000,0,2.108579,2.627066,0.000000,0.000000,1.902678,0.00001273,1.908000,0
440000,0,2.214787,2.616516,0.000000,0.000000,1.898443,0.00001208,1.902678,0
450000,0,2.200492,2.606280,0.000000,0.000000,1.893077,0.00001144,1.898443,0
460000,0,2.586477,2.601895,0.000000,0.000000,1.936824,0.00001080,1.893077,0
470000,0,2.062515,2.592361,0.000000,0.000000,1.888588,0.00001017,1.893077,1
480000,0,2.030656,2.583067,0.000000,0.000000,1.882674,0.00000956,1.888588,0
490000,0,2.093331,2.574038,0.000000,0.000000,1.876496,0.00000895,1.882674,0
500000,0,2.171861,2.565269,0.000000,0.000000,1.872987,0.00000835,1.876496,0
510000,0,2.202063,2.556744,0.000000,0.000000,1.869533,0.00000777,1.872987,0
520000,0,1.972209,2.548537,0.000000,0.000000,1.865935,0.00000720,1.869533,0
530000,0,2.326211,2.542364,0.000000,0.000000,1.902053,0.00000664,1.865935,0
540000,0,2.306578,2.534581,0.000000,0.000000,1.859165,0.00000610,1.865935,1
550000,0,2.079741,2.526987,0.000000,0.000000,1.855417,0.00000558,1.859165,0
560000,0,2.163090,2.519646,0.000000,0.000000,1.852289,0.00000508,1.855417,0
570000,0,2.401134,2.512488,0.000000,0.000000,1.848772,0.00000459,1.852289,0
580000,0,1.876137,2.505556,0.000000,0.000000,1.846284,0.00000413,1.848772,0
590000,0,2.373772,2.498755,0.000000,0.000000,1.844234,0.00000369,1.846284,0
600000,0,2.101501,2.492143,0.000000,0.000000,1.841623,0.00000327,1.844234,0
610000,0,2.461692,2.490009,0.000000,0.000000,1.884315,0.00000287,1.841623,0
620000,0,2.163115,2.483821,0.000000,0.000000,1.839422,0.00000249,1.841623,1
630000,0,2.030046,2.477730,0.000000,0.000000,1.837095,0.00000214,1.839422,0
640000,0,2.002620,2.471759,0.000000,0.000000,1.835081,0.00000181,1.837095,0
650000,0,2.023703,2.465927,0.000000,0.000000,1.833663,0.00000151,1.835081,0
660000,0,2.052465,2.460248,0.000000,0.000000,1.832384,0.00000124,1.833663,0
670000,0,1.955927,2.454776,0.000000,0.000000,1.831018,0.00000099,1.832384,0
680000,0,2.345452,2.450599,0.000000,0.000000,1.857279,0.00000077,1.831018,0
690000,0,2.016059,2.445354,0.000000,0.000000,1.829782,0.00000057,1.831018,1
700000,0,2.582174,2.440259,0.000000,0.000000,1.829124,0.00000041,1.829782,0
710000,0,2.002655,2.435324,0.000000,0.000000,1.828745,0.00000027,1.829124,0
720000,0,2.115206,2.430477,0.000000,0.000000,1.828450,0.00000016,1.828745,0
730000,0,1.981252,2.425763,0.000000,0.000000,1.828230,0.00000008,1.828450,0
740000,0,1.861874,2.421209,0.000000,0.000000,1.828098,0.00000002,1.828230,0
750000,0,2.167027,2.416752,0.000000,0.000000,1.828069,0.00000000,1.828098,0
