step,epoch,batch_loss,avg_loss,batch_acc,avg_acc,val_loss,lr,best_val,no_improve
10000,0,4.878311,6.380631,0.000000,0.000000,4.923335,0.00001328,inf,0
20000,0,4.105376,5.393806,0.000000,0.000000,3.855698,0.00002656,4.923335,0
30000,0,3.376457,4.804542,0.000000,0.000000,3.162438,0.00003983,3.855698,0
40000,0,3.131071,4.398426,0.000000,0.000000,2.805020,0.00005000,3.162438,0
50000,0,2.789802,4.104938,0.000000,0.000000,2.600254,0.00004996,2.805020,0
60000,0,2.731341,3.883796,0.000000,0.000000,2.472513,0.00004988,2.600254,0
70000,0,2.881747,3.712975,0.000000,0.000000,2.385092,0.00004975,2.472513,0
80000,0,2.763064,3.584430,0.000000,0.000000,2.342627,0.00004957,2.385092,0
90000,0,2.512282,3.471180,0.000000,0.000000,2.278993,0.00004934,2.342627,0
100000,0,2.337440,3.376258,0.000000,0.000000,2.238629,0.00004907,2.278993,0
110000,0,2.490874,3.295489,0.000000,0.000000,2.205526,0.00004875,2.238629,0
120000,0,2.384266,3.226056,0.000000,0.000000,2.182428,0.00004838,2.205526,0
130000,0,2.230862,3.165264,0.000000,0.000000,2.155887,0.00004797,2.182428,0
140000,0,2.257990,3.111491,0.000000,0.000000,2.134489,0.00004752,2.155887,0
150000,0,2.351536,3.063693,0.000000,0.000000,2.116377,0.00004702,2.134489,0
160000,0,2.642894,3.027822,0.000000,0.000000,2.113938,0.00004648,2.116377,0
170000,0,2.157351,2.988900,0.000000,0.000000,2.086782,0.00004590,2.113938,0
180000,0,2.429640,2.953346,0.000000,0.000000,2.070593,0.00004527,2.086782,0
190000,0,2.069726,2.920743,0.000000,0.000000,2.060904,0.00004461,2.070593,0
200000,0,2.423447,2.890878,0.000000,0.000000,2.048885,0.00004391,2.060904,0
210000,0,2.454319,2.863322,0.000000,0.000000,2.037831,0.00004318,2.048885,0
220000,0,2.299074,2.837792,0.000000,0.000000,2.026873,0.00004241,2.037831,0
230000,0,2.259495,2.816037,0.000000,0.000000,2.024191,0.00004160,2.026873,0
240000,0,2.131580,2.793754,0.000000,0.000000,2.008655,0.00004077,2.024191,0
250000,0,2.334849,2.772844,0.000000,0.000000,1.998065,0.00003990,2.008655,0
260000,0,2.288574,2.753045,0.000000,0.000000,1.989382,0.00003900,1.998065,0
270000,0,2.131059,2.734597,0.000000,0.000000,1.982105,0.00003808,1.989382,0
280000,0,2.151735,2.717087,0.000000,0.000000,1.975168,0.00003713,1.982105,0
290000,0,2.371991,2.700559,0.000000,0.000000,1.966152,0.00003616,1.975168,0
300000,0,2.148601,2.684782,0.000000,0.000000,1.958703,0.00003517,1.966152,0
310000,0,2.342056,2.672958,0.000000,0.000000,1.960770,0.00003416,1.958703,0
320000,0,2.344602,2.658741,0.000000,0.000000,1.945924,0.00003313,1.958703,1
330000,0,2.161475,2.645108,0.000000,0.000000,1.938617,0.00003208,1.945924,0
340000,0,2.113732,2.632111,0.000000,0.000000,1.930771,0.00003102,1.938617,0
350000,0,2.128935,2.619553,0.000000,0.000000,1.923825,0.00002995,1.930771,0
360000,0,2.162782,2.607429,0.000000,0.000000,1.916329,0.00002887,1.923825,0
370000,0,2.143373,2.595861,0.000000,0.000000,1.909404,0.00002778,1.916329,0
380000,0,2.269476,2.585793,0.000000,0.000000,1.910755,0.00002669,1.909404,0
390000,0,2.148301,2.575125,0.000000,0.000000,1.897014,0.00002559,1.909404,1
400000,0,2.340999,2.564725,0.000000,0.000000,1.894805,0.00002449,1.897014,0
410000,0,2.331107,2.554596,0.000000,0.000000,1.885167,0.00002340,1.894805,0
420000,0,2.211673,2.544877,0.000000,0.000000,1.878406,0.00002230,1.885167,0
430000,0,2.099227,2.535377,0.000000,0.000000,1.871500,0.00002122,1.878406,0
440000,0,2.179490,2.526216,0.000000,0.000000,1.868211,0.00002014,1.871500,0
450000,0,2.153117,2.517276,0.000000,0.000000,1.860031,0.00001906,1.868211,0
460000,0,2.370319,2.510825,0.000000,0.000000,1.863612,0.00001800,1.860031,0
470000,0,2.062369,2.502373,0.000000,0.000000,1.851284,0.00001696,1.860031,1
480000,0,2.000950,2.494145,0.000000,0.000000,1.842732,0.00001593,1.851284,0
490000,0,2.051177,2.486112,0.000000,0.000000,1.836104,0.00001491,1.842732,0
500000,0,2.126956,2.478269,0.000000,0.000000,1.830102,0.00001392,1.836104,0
510000,0,2.157356,2.470602,0.000000,0.000000,1.824582,0.00001294,1.830102,0
520000,0,1.930324,2.463171,0.000000,0.000000,1.820973,0.00001199,1.824582,0
530000,0,2.095611,2.456617,0.000000,0.000000,1.823020,0.00001107,1.820973,0
540000,0,2.260365,2.449462,0.000000,0.000000,1.807806,0.00001017,1.820973,1
550000,0,1.995863,2.442461,0.000000,0.000000,1.803143,0.00000930,1.807806,0
560000,0,2.111907,2.435651,0.000000,0.000000,1.796453,0.00000846,1.803143,0
570000,0,2.337343,2.428964,0.000000,0.000000,1.790815,0.00000766,1.796453,0
580000,0,1.822044,2.422456,0.000000,0.000000,1.787582,0.00000688,1.790815,0
590000,0,2.296427,2.416027,0.000000,0.000000,1.782795,0.00000614,1.787582,0
600000,0,2.028884,2.409739,0.000000,0.000000,1.778770,0.00000544,1.782795,0
610000,0,2.241070,2.405363,0.000000,0.000000,1.787299,0.00000478,1.778770,0
620000,0,2.090553,2.399396,0.000000,0.000000,1.771682,0.00000415,1.778770,1
630000,0,1.969133,2.393533,0.000000,0.000000,1.767246,0.00000357,1.771682,0
640000,0,1.933296,2.387757,0.000000,0.000000,1.763754,0.00000302,1.767246,0
650000,0,1.964433,2.382092,0.000000,0.000000,1.760638,0.00000252,1.763754,0
660000,0,1.980239,2.376555,0.000000,0.000000,1.757511,0.00000206,1.760638,0
670000,0,1.883183,2.371200,0.000000,0.000000,1.755773,0.00000165,1.757511,0
680000,0,2.052625,2.366387,0.000000,0.000000,1.764098,0.00000128,1.755773,0
690000,0,1.952477,2.361212,0.000000,0.000000,1.751769,0.00000095,1.755773,1
700000,0,2.466117,2.356185,0.000000,0.000000,1.750884,0.00000068,1.751769,0
710000,0,1.932599,2.351306,0.000000,0.000000,1.750023,0.00000045,1.750884,0
720000,0,2.023787,2.346508,0.000000,0.000000,1.749052,0.00000026,1.750023,0
730000,0,1.892783,2.341837,0.000000,0.000000,1.748592,0.00000013,1.749052,0
740000,0,1.759995,2.337314,0.000000,0.000000,1.748323,0.00000004,1.748592,0
750000,0,2.072295,2.332888,0.000000,0.000000,1.748274,0.00000000,1.748323,0
