step,epoch,train_loss,val_loss,lr,best_val,no_improve
10000,0,5.035546,4.654630,0.00001000,inf,0
20000,0,4.123046,4.053363,0.00001000,4.654630,0
30000,0,3.850965,3.658706,0.00001000,4.053363,0
40000,0,3.516039,3.371181,0.00001000,3.658706,0
50000,0,2.888591,3.161022,0.00001000,3.371181,0
60000,0,3.322363,3.007014,0.00001000,3.161022,0
70000,0,3.148746,2.887229,0.00001000,3.007014,0
80000,0,3.064956,2.793927,0.00001000,2.887229,0
90000,0,2.607499,2.716311,0.00001000,2.793927,0
100000,0,3.017600,2.651683,0.00001000,2.716311,0
110000,0,2.582169,2.596196,0.00001000,2.651683,0
120000,0,2.879165,2.548791,0.00001000,2.596196,0
130000,0,2.548884,2.509215,0.00001000,2.548791,0
140000,0,2.792522,2.475060,0.00001000,2.509215,0
150000,0,2.688437,2.440777,0.00001000,2.475060,0
160000,0,2.885005,2.412639,0.00001000,2.440777,0
170000,0,2.804831,2.384571,0.00001000,2.412639,0
180000,0,2.642641,2.361015,0.00001000,2.384571,0
190000,0,2.366632,2.339733,0.00001000,2.361015,0
200000,0,2.375867,2.315566,0.00001000,2.339733,0
210000,0,2.804779,2.297379,0.00001000,2.315566,0
220000,0,2.534127,2.283232,0.00001000,2.297379,0
230000,0,2.519123,2.265804,0.00001000,2.283232,0
240000,0,2.390809,2.251525,0.00001000,2.265804,0
250000,0,2.774375,2.234707,0.00001000,2.251525,0
260000,0,2.388062,2.222189,0.00001000,2.234707,0
270000,0,2.593533,2.209739,0.00001000,2.222189,0
280000,0,2.507824,2.196886,0.00001000,2.209739,0
290000,0,2.568317,2.186033,0.00001000,2.196886,0
300000,0,2.361011,2.176686,0.00001000,2.186033,0
310000,0,2.489346,2.165837,0.00001000,2.176686,0
320000,0,2.443789,2.156498,0.00001000,2.165837,0
330000,0,2.415848,2.147443,0.00001000,2.156498,0
340000,0,2.486416,2.140376,0.00001000,2.147443,0
350000,0,2.226005,2.131724,0.00001000,2.140376,0
360000,0,2.291062,2.124430,0.00001000,2.131724,0
370000,0,2.441171,2.116008,0.00001000,2.124430,0
380000,0,2.300702,2.109938,0.00001000,2.116008,0
390000,0,2.248216,2.102422,0.00001000,2.109938,0
400000,0,2.400611,2.095145,0.00001000,2.102422,0
410000,0,2.414851,2.088182,0.00001000,2.095145,0
420000,0,2.174791,2.082167,0.00001000,2.088182,0
430000,0,2.253716,2.077566,0.00001000,2.082167,0
440000,0,2.164882,2.070699,0.00001000,2.077566,0
450000,0,2.175482,2.066000,0.00001000,2.070699,0
460000,0,2.151471,2.060518,0.00001000,2.066000,0
470000,0,2.107362,2.055356,0.00001000,2.060518,0
480000,0,2.510303,2.047922,0.00001000,2.055356,0
490000,0,2.396918,2.045783,0.00001000,2.047922,0
500000,0,2.210405,2.040230,0.00001000,2.045783,0
510000,0,2.534276,2.033731,0.00001000,2.040230,0
520000,0,2.071225,2.030693,0.00001000,2.033731,0
530000,0,2.658161,2.028129,0.00001000,2.030693,0
540000,0,2.492475,2.022190,0.00001000,2.028129,0
550000,0,2.303809,2.016842,0.00001000,2.022190,0
560000,0,2.328065,2.014101,0.00001000,2.016842,0
570000,0,2.166495,2.010790,0.00001000,2.014101,0
580000,0,2.288566,2.006665,0.00001000,2.010790,0
590000,0,2.246423,2.001447,0.00001000,2.006665,0
600000,0,2.500924,1.998973,0.00001000,2.001447,0
610000,0,2.034603,1.995267,0.00001000,1.998973,0
620000,0,2.149939,1.992948,0.00001000,1.995267,0
630000,0,2.241350,1.988374,0.00001000,1.992948,0
640000,0,2.252389,1.984762,0.00001000,1.988374,0
650000,0,2.419424,1.982712,0.00001000,1.984762,0
660000,0,2.182368,1.979415,0.00001000,1.982712,0
670000,0,2.251296,1.975648,0.00001000,1.979415,0
680000,0,2.297256,1.970763,0.00001000,1.975648,0
690000,0,2.421380,1.969477,0.00001000,1.970763,0
700000,0,2.146305,1.966385,0.00001000,1.969477,0
710000,0,1.921503,1.963807,0.00001000,1.966385,0
720000,0,2.092866,1.960224,0.00001000,1.963807,0
730000,0,2.143336,1.960090,0.00001000,1.960224,0
740000,0,2.016906,1.954656,0.00001000,1.960090,0
750000,0,2.286840,1.952766,0.00001000,1.954656,0
