step,epoch,batch_loss,avg_loss,batch_acc,avg_acc,val_loss,lr,best_val,no_improve
10000,0,4.531991,5.979922,0.000000,0.000000,4.582016,0.00002656,inf,0
20000,0,3.651265,4.979431,0.000000,0.000000,3.324338,0.00005311,4.582016,0
30000,0,3.031689,4.403774,0.000000,0.000000,2.831258,0.00007967,3.324338,0
40000,0,2.978159,4.042823,0.000000,0.000000,2.614397,0.00010000,2.831258,0
50000,0,2.692216,3.792612,0.000000,0.000000,2.464157,0.00009993,2.614397,0
60000,0,2.642883,3.606479,0.000000,0.000000,2.372975,0.00009976,2.464157,0
70000,0,2.750689,3.464012,0.000000,0.000000,2.308636,0.00009950,2.372975,0
80000,0,2.754742,3.359665,0.000000,0.000000,2.281510,0.00009914,2.308636,0
90000,0,2.467270,3.266080,0.000000,0.000000,2.230756,0.00009869,2.281510,0
100000,0,2.293657,3.187784,0.000000,0.000000,2.199552,0.00009814,2.230756,0
110000,0,2.470339,3.121340,0.000000,0.000000,2.171849,0.00009750,2.199552,0
120000,0,2.399807,3.064403,0.000000,0.000000,2.153450,0.00009677,2.171849,0
130000,0,2.219000,3.014653,0.000000,0.000000,2.134043,0.00009595,2.153450,0
140000,0,2.245427,2.970732,0.000000,0.000000,2.118195,0.00009504,2.134043,0
150000,0,2.378380,2.931774,0.000000,0.000000,2.105037,0.00009404,2.118195,0
160000,0,2.658590,2.904856,0.000000,0.000000,2.110569,0.00009296,2.105037,0
170000,0,2.156005,2.873344,0.000000,0.000000,2.086942,0.00009179,2.105037,1
180000,0,2.433591,2.844505,0.000000,0.000000,2.075886,0.00009055,2.086942,0
190000,0,2.078567,2.818053,0.000000,0.000000,2.068838,0.00008922,2.075886,0
200000,0,2.439324,2.793816,0.000000,0.000000,2.055359,0.00008783,2.068838,0
210000,0,2.464840,2.771469,0.000000,0.000000,2.048137,0.00008635,2.055359,0
220000,0,2.338892,2.750759,0.000000,0.000000,2.039220,0.00008481,2.048137,0
230000,0,2.319118,2.733929,0.000000,0.000000,2.042886,0.00008320,2.039220,0
240000,0,2.160112,2.715832,0.000000,0.000000,2.022601,0.00008153,2.039220,1
250000,0,2.376466,2.698832,0.000000,0.000000,2.013113,0.00007980,2.022601,0
260000,0,2.310628,2.682643,0.000000,0.000000,2.007416,0.00007801,2.013113,0
270000,0,2.125932,2.667570,0.000000,0.000000,2.000138,0.00007616,2.007416,0
280000,0,2.172062,2.653226,0.000000,0.000000,1.994290,0.00007426,2.000138,0
290000,0,2.405437,2.639661,0.000000,0.000000,1.987354,0.00007232,1.994290,0
300000,0,2.174030,2.626660,0.000000,0.000000,1.979232,0.00007034,1.987354,0
310000,0,2.367941,2.618167,0.000000,0.000000,1.987267,0.00006831,1.979232,0
320000,0,2.378247,2.606452,0.000000,0.000000,1.968277,0.00006625,1.979232,1
330000,0,2.190904,2.595152,0.000000,0.000000,1.958972,0.00006416,1.968277,0
340000,0,2.115077,2.584330,0.000000,0.000000,1.952172,0.00006204,1.958972,0
350000,0,2.141192,2.573803,0.000000,0.000000,1.944533,0.00005990,1.952172,0
360000,0,2.186725,2.563584,0.000000,0.000000,1.937913,0.00005774,1.944533,0
370000,0,2.171511,2.553798,0.000000,0.000000,1.927885,0.00005556,1.937913,0
380000,0,2.316495,2.545688,0.000000,0.000000,1.935129,0.00005338,1.927885,0
390000,0,2.195612,2.536600,0.000000,0.000000,1.916043,0.00005118,1.927885,1
400000,0,2.340662,2.527683,0.000000,0.000000,1.913178,0.00004899,1.916043,0
410000,0,2.342935,2.518932,0.000000,0.000000,1.901009,0.00004680,1.913178,0
420000,0,2.223248,2.510503,0.000000,0.000000,1.893352,0.00004461,1.901009,0
